profile,model,success_rate,avg_attempts
consistent,Q-Learning,81.14444444444445,3.0005555555555556
consistent,SARSA,80.80000000000001,3.036111111111111
consistent,Expected-SARSA,80.90000000000002,3.015333333333333
consistent,Double-Q-Learning,79.05555555555557,3.1071111111111107
consistent,Actor-Critic,82.96666666666665,2.8917777777777776
noisy,Q-Learning,73.45555555555555,3.202888888888889
noisy,SARSA,73.94444444444444,3.2532222222222216
noisy,Expected-SARSA,73.75555555555555,3.2018888888888886
noisy,Double-Q-Learning,72.95555555555555,3.244222222222222
noisy,Actor-Critic,75.61111111111111,3.1561111111111106
