model;exploration;strategy;alpha;gamma;epsilon;similarity;child_profile;success_rate_mean;success_rate_std;avg_attempts_mean;avg_attempts_std
Q-Learning;epsilon_greedy;A;0.3;0.6;0.15;cosine;consistent;76.33333333333333;3.39934634239519;2.8266666666666667;0.12710450643291749
Q-Learning;epsilon_greedy;A;0.3;0.6;0.15;euclidean;consistent;79.66666666666667;2.8674417556808756;2.75;0.035590260840104235
Q-Learning;epsilon_greedy;B;0.3;0.6;0.15;cosine;consistent;73.66666666666667;1.699673171197595;3.0333333333333337;0.14817407180595257
Q-Learning;epsilon_greedy;B;0.3;0.6;0.15;euclidean;consistent;71.33333333333333;0.9428090415820634;3.223333333333333;0.061282587702834075
Q-Learning;epsilon_greedy;C;0.3;0.6;0.15;cosine;consistent;87.0;2.449489742783178;3.0866666666666664;0.11556623882239815
Q-Learning;epsilon_greedy;C;0.3;0.6;0.15;euclidean;consistent;88.33333333333333;3.858612300930075;2.813333333333333;0.20548046676563256
Q-Learning;epsilon_greedy;D;0.3;0.6;0.15;cosine;consistent;85.0;1.4142135623730951;2.9133333333333336;0.05436502143433373
Q-Learning;epsilon_greedy;D;0.3;0.6;0.15;euclidean;consistent;92.0;1.4142135623730951;2.6299999999999994;0.13735598518691006
Q-Learning;epsilon_greedy;E;0.3;0.6;0.15;cosine;consistent;87.33333333333333;0.4714045207910317;3.0033333333333334;0.06798692684790365
Q-Learning;epsilon_greedy;E;0.3;0.6;0.15;euclidean;consistent;89.33333333333333;3.39934634239519;2.8866666666666667;0.2200504992546535
Q-Learning;decaying_epsilon;A;0.3;0.6;0.15;cosine;consistent;81.0;2.943920288775949;2.6366666666666667;0.12229290885229413
Q-Learning;decaying_epsilon;A;0.3;0.6;0.15;euclidean;consistent;75.66666666666667;2.6246692913372702;2.846666666666667;0.15107025591499548
Q-Learning;decaying_epsilon;B;0.3;0.6;0.15;cosine;consistent;68.66666666666667;6.79869268479038;3.3333333333333335;0.39364394515292056
Q-Learning;decaying_epsilon;B;0.3;0.6;0.15;euclidean;consistent;66.0;3.265986323710904;3.283333333333333;0.21853044537445018
Q-Learning;decaying_epsilon;C;0.3;0.6;0.15;cosine;consistent;89.33333333333333;0.4714045207910317;2.8366666666666664;0.16739839372652965
Q-Learning;decaying_epsilon;C;0.3;0.6;0.15;euclidean;consistent;89.33333333333333;3.7712361663282534;2.8166666666666664;0.16739839372652965
Q-Learning;decaying_epsilon;D;0.3;0.6;0.15;cosine;consistent;88.0;2.943920288775949;2.8800000000000003;0.10033277962194939
Q-Learning;decaying_epsilon;D;0.3;0.6;0.15;euclidean;consistent;88.0;4.96655480858378;2.7833333333333337;0.15965240019770735
Q-Learning;decaying_epsilon;E;0.3;0.6;0.15;cosine;consistent;83.66666666666667;4.109609335312651;2.9599999999999995;0.1930457631409368
Q-Learning;decaying_epsilon;E;0.3;0.6;0.15;euclidean;consistent;87.0;0.816496580927726;2.98;0.21275964529643931
