model;exploration;strategy;alpha;gamma;epsilon;similarity;child_profile;success_rate_mean;success_rate_std;avg_attempts_mean;avg_attempts_std
Q-Learning;epsilon_greedy;A;0.3;0.6;0.15;cosine;noisy;71.33333333333333;3.39934634239519;2.973333333333333;0.06548960901462822
Q-Learning;epsilon_greedy;A;0.3;0.6;0.15;euclidean;noisy;71.0;0.816496580927726;2.973333333333333;0.0805536398239639
Q-Learning;epsilon_greedy;B;0.3;0.6;0.15;cosine;noisy;60.333333333333336;3.399346342395192;3.4633333333333334;0.12498888839501789
Q-Learning;epsilon_greedy;B;0.3;0.6;0.15;euclidean;noisy;66.0;4.96655480858378;3.313333333333333;0.15797327481430393
Q-Learning;epsilon_greedy;C;0.3;0.6;0.15;cosine;noisy;81.33333333333333;1.8856180831641267;3.1266666666666665;0.10780641085864161
Q-Learning;epsilon_greedy;C;0.3;0.6;0.15;euclidean;noisy;82.33333333333333;1.8856180831641267;3.34;0.09899494936611676
Q-Learning;epsilon_greedy;D;0.3;0.6;0.15;cosine;noisy;79.0;2.943920288775949;2.856666666666667;0.08993825042154703
Q-Learning;epsilon_greedy;D;0.3;0.6;0.15;euclidean;noisy;80.33333333333333;4.0276819911981905;3.0866666666666664;0.1653951497340704
Q-Learning;epsilon_greedy;E;0.3;0.6;0.15;cosine;noisy;71.33333333333333;1.247219128924647;3.2533333333333334;0.09672412085697941
Q-Learning;epsilon_greedy;E;0.3;0.6;0.15;euclidean;noisy;78.66666666666667;4.189935029992178;3.1966666666666668;0.09428090415820643
Q-Learning;decaying_epsilon;A;0.3;0.6;0.15;cosine;noisy;73.0;3.559026084010437;2.9633333333333334;0.12684198393626955
Q-Learning;decaying_epsilon;A;0.3;0.6;0.15;euclidean;noisy;73.0;1.4142135623730951;2.973333333333333;0.06236095644623234
Q-Learning;decaying_epsilon;B;0.3;0.6;0.15;cosine;noisy;65.33333333333333;7.039570693980955;3.3366666666666664;0.22095751225568724
Q-Learning;decaying_epsilon;B;0.3;0.6;0.15;euclidean;noisy;63.333333333333336;3.8586123009300786;3.3666666666666667;0.05436502143433363
Q-Learning;decaying_epsilon;C;0.3;0.6;0.15;cosine;noisy;80.0;1.632993161855452;3.1766666666666663;0.0821921867062531
Q-Learning;decaying_epsilon;C;0.3;0.6;0.15;euclidean;noisy;80.33333333333333;1.247219128924647;3.203333333333333;0.12391753530294064
Q-Learning;decaying_epsilon;D;0.3;0.6;0.15;cosine;noisy;77.66666666666667;4.642796092394706;3.09;0.13880441875771338
Q-Learning;decaying_epsilon;D;0.3;0.6;0.15;euclidean;noisy;70.66666666666667;1.699673171197595;3.1999999999999997;0.09273618495495706
Q-Learning;decaying_epsilon;E;0.3;0.6;0.15;cosine;noisy;77.0;1.632993161855452;3.0833333333333335;0.04109609335312655
Q-Learning;decaying_epsilon;E;0.3;0.6;0.15;euclidean;noisy;76.66666666666667;2.357022603955158;3.09;0.1283225103661344
Q-Learning;ucb;A;0.3;0.6;0.15;cosine;noisy;71.66666666666667;2.494438257849294;3.0866666666666664;0.08178562764256854
Q-Learning;ucb;A;0.3;0.6;0.15;euclidean;noisy;72.66666666666667;2.0548046676563256;3.06;0.06377042156569665
Q-Learning;ucb;B;0.3;0.6;0.15;cosine;noisy;59.666666666666664;5.24933858267454;3.6566666666666663;0.06847546194724713
Q-Learning;ucb;B;0.3;0.6;0.15;euclidean;noisy;63.333333333333336;4.92160768674447;3.3733333333333335;0.1528252451513019
Q-Learning;ucb;C;0.3;0.6;0.15;cosine;noisy;76.33333333333333;3.0912061651652345;3.28;0.10677078252031318
Q-Learning;ucb;C;0.3;0.6;0.15;euclidean;noisy;80.33333333333333;5.436502143433363;3.313333333333334;0.09843215373488926
Q-Learning;ucb;D;0.3;0.6;0.15;cosine;noisy;73.66666666666667;2.6246692913372702;3.4066666666666667;0.19754043186705408
Q-Learning;ucb;D;0.3;0.6;0.15;euclidean;noisy;71.66666666666667;5.2493385826745405;3.353333333333333;0.14079141387961913
Q-Learning;ucb;E;0.3;0.6;0.15;cosine;noisy;76.0;0.816496580927726;3.266666666666666;0.07039570693980955
Q-Learning;ucb;E;0.3;0.6;0.15;euclidean;noisy;79.66666666666667;1.247219128924647;3.223333333333333;0.15107025591499554
SARSA;epsilon_greedy;A;0.3;0.6;0.15;cosine;noisy;75.33333333333333;4.784233364802441;3.0066666666666664;0.09672412085697932
SARSA;epsilon_greedy;A;0.3;0.6;0.15;euclidean;noisy;74.0;2.449489742783178;2.94;0.043204937989385774
SARSA;epsilon_greedy;B;0.3;0.6;0.15;cosine;noisy;63.666666666666664;1.699673171197595;3.543333333333333;0.07408703590297631
